owner,name,full_name,description,language,stars,days_since_last_commit,pushed_at,html_url
"dbos-inc","dbos-transact-py","dbos-inc/dbos-transact-py","Lightweight Durable Python Workflows","Python",773,"2 days","2025-06-20T04:40:20+00:00","https://github.com/dbos-inc/dbos-transact-py"
"RightTyper","RightTyper","RightTyper/RightTyper","A fast and efficient type assistant for Python, including tensor shape inference","Python",323,"4 days","2025-06-18T17:53:52+00:00","https://github.com/RightTyper/RightTyper"
"owenlamont","uv-secure","owenlamont/uv-secure","Scan your uv.lock file for dependencies with known vulnerabilities","Python",70,"Today","2025-06-22T12:21:02+00:00","https://github.com/owenlamont/uv-secure"
"inventree","InvenTree","inventree/InvenTree","Open Source Inventory Management System","Python",5108,"Today","2025-06-22T02:44:58+00:00","https://github.com/inventree/InvenTree"
"OmenApps","django-tomselect","OmenApps/django-tomselect","Autocomplete widgets and views using TomSelect","Python",70,"30 days","2025-05-23T19:03:06+00:00","https://github.com/OmenApps/django-tomselect"
"copier-org","copier","copier-org/copier","Library and command-line utility for rendering projects templates.","Python",2582,"Today","2025-06-22T02:08:15+00:00","https://github.com/copier-org/copier"
"tailscale","golink","tailscale/golink","A private shortlink service for tailnets","Go",1450,"24 days","2025-05-29T19:24:06+00:00","https://github.com/tailscale/golink"
"joshuadavidthomas","django-github-app","joshuadavidthomas/django-github-app","A Django toolkit for GitHub Apps with batteries included","Python",33,"1 day","2025-06-20T19:38:19+00:00","https://github.com/joshuadavidthomas/django-github-app"
"jazzband","django-constance","jazzband/django-constance","Dynamic Django settings.","Python",1776,"34 days","2025-05-19T19:34:37+00:00","https://github.com/jazzband/django-constance"
"vintasoftware","django-ai-assistant","vintasoftware/django-ai-assistant","Integrate AI Assistants with Django to build intelligent applications","Python",352,"72 days","2025-04-11T17:12:01+00:00","https://github.com/vintasoftware/django-ai-assistant"
"MightyMoud","sidekick","MightyMoud/sidekick","Bare metal to production ready in mins; your own fly server on your VPS.","Go",6592,"119 days","2025-02-23T07:49:57+00:00","https://github.com/MightyMoud/sidekick"
"sjbitcode","django-admin-dracula","sjbitcode/django-admin-dracula","🦇 Dracula themes for the Django admin","CSS",51,"192 days","2024-12-12T06:38:21+00:00","https://github.com/sjbitcode/django-admin-dracula"
"jefftriplett","files-to-claude-xml","jefftriplett/files-to-claude-xml","Use XML tags for long context prompting using Claude's multi-document structure.","Python",26,"40 days","2025-05-13T05:12:22+00:00","https://github.com/jefftriplett/files-to-claude-xml"
"joshuadavidthomas","django-bird","joshuadavidthomas/django-bird","High-flying components for perfectionists with deadlines","Python",108,"5 days","2025-06-17T14:44:50+00:00","https://github.com/joshuadavidthomas/django-bird"
"treyhunner","dotfiles","treyhunner/dotfiles","My dotfiles","Vim Script",43,"15 days","2025-06-06T20:01:35+00:00","https://github.com/treyhunner/dotfiles"
"radiac","nanodjango","radiac/nanodjango","Full Django in a single file - views, models, API ,with async support. Automatically convert it to a full project.","Python",758,"128 days","2025-02-13T23:23:42+00:00","https://github.com/radiac/nanodjango"
"michalpokusa","django-admin-action-forms","michalpokusa/django-admin-action-forms","Extension for the Django admin panel that allows passing additional parameters to actions by creating intermediate pages with forms.","Python",107,"24 days","2025-05-29T00:46:30+00:00","https://github.com/michalpokusa/django-admin-action-forms"
"Dataherald","dataherald","Dataherald/dataherald","Interact with your SQL database, Natural Language to SQL using LLMs","Python",3517,"333 days","2024-07-24T17:37:41+00:00","https://github.com/Dataherald/dataherald"
"phildini","linkedin-analytics-to-sqlite","phildini/linkedin-analytics-to-sqlite","Parse the LinkedIn analytics exports into a Sqlite DB","Python",1,"394 days","2024-05-24T05:38:30+00:00","https://github.com/phildini/linkedin-analytics-to-sqlite"
"adamchainz","django-harlequin","adamchainz/django-harlequin","Launch Harlequin, the SQL IDE for your Terminal, with your Django database configuration.","Python",81,"17 days","2025-06-05T09:23:31+00:00","https://github.com/adamchainz/django-harlequin"
"gauge-sh","bridge","gauge-sh/bridge","Automatic infrastructure for Django","Python",157,"363 days","2024-06-24T16:34:34+00:00","https://github.com/gauge-sh/bridge"
"epogrebnyak","justpath","epogrebnyak/justpath","Inspect and refine PATH environment variable on Windows, Linux and MacOS.","Python",351,"381 days","2024-06-06T10:24:40+00:00","https://github.com/epogrebnyak/justpath"
"glyph","DBXS","glyph/DBXS","Database Access","Python",18,"5 days","2025-06-17T06:18:08+00:00","https://github.com/glyph/DBXS"
"andrewgodwin","django-singlefile","andrewgodwin/django-singlefile","","Python",95,"418 days","2024-04-30T06:00:39+00:00","https://github.com/andrewgodwin/django-singlefile"
"Haui1112","FediWork","Haui1112/FediWork","A fediverse alternative to Linkedin, forked from Mastodon","Ruby",9,"453 days","2024-03-26T16:16:41+00:00","https://github.com/Haui1112/FediWork"
"julianwachholz","django-sqids","julianwachholz/django-sqids","Non-intrusive sqids library for Django","Python",72,"222 days","2024-11-12T07:43:36+00:00","https://github.com/julianwachholz/django-sqids"
"matthiask","django-prose-editor","matthiask/django-prose-editor","ProseMirror-based HTML editor for Django","Python",157,"Today","2025-06-22T16:27:48+00:00","https://github.com/matthiask/django-prose-editor"
"tataraba","soccerlite","tataraba/soccerlite","Litestar web app for an amateur soccer league using the PyHAT stack.","HTML",11,"256 days","2024-10-08T23:38:52+00:00","https://github.com/tataraba/soccerlite"
"pysnippet","django-mermaid","pysnippet/django-mermaid","Django template tag for rendering mermaid diagrams.","Python",14,"89 days","2025-03-25T18:24:33+00:00","https://github.com/pysnippet/django-mermaid"
"jazzband","django-simple-menu","jazzband/django-simple-menu","Simple, yet powerful, code-based menus for Django applications","Python",270,"20 days","2025-06-02T17:20:03+00:00","https://github.com/jazzband/django-simple-menu"
"astanin","python-tabulate","astanin/python-tabulate","Pretty-print tabular data in Python, a library and a command-line utility. Repository migrated from bitbucket.org/astanin/python-tabulate.","Python",2355,"256 days","2024-10-09T09:43:07+00:00","https://github.com/astanin/python-tabulate"
"dabapps","django-zen-queries","dabapps/django-zen-queries","Explicit control over database query execution in Django applications ","Python",374,"459 days","2024-03-20T17:07:21+00:00","https://github.com/dabapps/django-zen-queries"
"PyHAT-stack","web-async-patterns","PyHAT-stack/web-async-patterns","This repo shows patterns you can use to elevate Python web apps via streaming HTML and htmx","HTML",115,"617 days","2023-10-13T22:50:21+00:00","https://github.com/PyHAT-stack/web-async-patterns"
"tnm","qr","tnm/qr","Queues, stacks, deques, and priority queues with Redis in Python","Python",226,"1968 days","2020-01-31T22:41:29+00:00","https://github.com/tnm/qr"
"westerveltco","django-email-relay","westerveltco/django-email-relay","Centralize and relay email from multiple distributed Django projects to an internal SMTP server via a database queue","Python",18,"9 days","2025-06-13T15:40:25+00:00","https://github.com/westerveltco/django-email-relay"
"lincolnloop","django-production","lincolnloop/django-production","production settings for Django","Python",152,"608 days","2023-10-23T16:03:08+00:00","https://github.com/lincolnloop/django-production"
"britisharmy","convert_html_tags_to_django_static","britisharmy/convert_html_tags_to_django_static","Convert HTML tags to Django static","Python",26,"693 days","2023-07-30T09:40:30+00:00","https://github.com/britisharmy/convert_html_tags_to_django_static"
"saadmk11","github-actions-version-updater","saadmk11/github-actions-version-updater","A GitHub Action that Updates All GitHub Actions in a Repository and Creates a Pull Request with the Updates","Python",92,"19 days","2025-06-02T21:01:27+00:00","https://github.com/saadmk11/github-actions-version-updater"
"iommirocks","iommi","iommirocks/iommi","Your first pick for a django power cord","Python",904,"4 days","2025-06-18T11:59:59+00:00","https://github.com/iommirocks/iommi"
"lekjos","django-custom-admin-pages","lekjos/django-custom-admin-pages","A Django app that allows you to register class-based views to appear in Django admin.","Python",58,"6 days","2025-06-16T07:07:03+00:00","https://github.com/lekjos/django-custom-admin-pages"
"yaelwrites","Big-Ass-Data-Broker-Opt-Out-List","yaelwrites/Big-Ass-Data-Broker-Opt-Out-List","","",5094,"5 days","2025-06-17T16:43:00+00:00","https://github.com/yaelwrites/Big-Ass-Data-Broker-Opt-Out-List"
"dabeaz-course","python-mastery","dabeaz-course/python-mastery","Advanced Python Mastery (course by @dabeaz)","Python",11491,"316 days","2024-08-10T17:51:39+00:00","https://github.com/dabeaz-course/python-mastery"
"mem0ai","mem0","mem0ai/mem0","Memory for AI Agents; Announcing OpenMemory MCP - local and secure memory management.","Python",35049,"Today","2025-06-22T18:16:09+00:00","https://github.com/mem0ai/mem0"
"viewflow","django-fsm","viewflow/django-fsm","Django friendly finite state machine support","Python",2343,"432 days","2024-04-16T12:13:04+00:00","https://github.com/viewflow/django-fsm"
"nedbat","gefilte","nedbat/gefilte","Gefilte Fish GMail filter creator","Python",50,"1215 days","2022-02-23T17:10:39+00:00","https://github.com/nedbat/gefilte"
"revsys","django-test-plus","revsys/django-test-plus","Useful additions to Django's default TestCase","Python",624,"1 day","2025-06-21T00:36:31+00:00","https://github.com/revsys/django-test-plus"
"Significant-Gravitas","AutoGPT","Significant-Gravitas/AutoGPT","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.","Python",176323,"Today","2025-06-22T16:37:59+00:00","https://github.com/Significant-Gravitas/AutoGPT"
"jefftriplett","youtube-to-frontmatter","jefftriplett/youtube-to-frontmatter","Quickly get metadata out of YouTube Channels and Playlists. ","Python",6,"578 days","2023-11-22T17:05:17+00:00","https://github.com/jefftriplett/youtube-to-frontmatter"
"seatonjiang","gitmoji-vscode","seatonjiang/gitmoji-vscode","Gitmoji tool for git commit messages in VSCode","TypeScript",290,"19 days","2025-06-03T17:11:56+00:00","https://github.com/seatonjiang/gitmoji-vscode"
"BurntSushi","ripgrep","BurntSushi/ripgrep","ripgrep recursively searches directories for a regex pattern while respecting your gitignore","Rust",53226,"23 days","2025-05-30T12:30:52+00:00","https://github.com/BurntSushi/ripgrep"
"carltongibson","neapolitan","carltongibson/neapolitan","Quick CRUD views for Django","Python",620,"53 days","2025-04-30T09:10:11+00:00","https://github.com/carltongibson/neapolitan"
"tox-dev","pipdeptree","tox-dev/pipdeptree","A command line utility to display dependency tree of the installed Python packages","Python",2897,"12 days","2025-06-10T04:00:17+00:00","https://github.com/tox-dev/pipdeptree"
"jwyg","awesome-data-journalism","jwyg/awesome-data-journalism","List of publicly available, free/open source and open access resources for learning and doing data journalism. ","",46,"476 days","2024-03-03T10:40:21+00:00","https://github.com/jwyg/awesome-data-journalism"
"hsv-dot-beer","hsvdotbeer","hsv-dot-beer/hsvdotbeer","Collate ALL the beers!","HTML",25,"613 days","2023-10-18T01:26:04+00:00","https://github.com/hsv-dot-beer/hsvdotbeer"
